Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bayfield Treatment Centres,26 June 2019,"$60,922.36"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Stepping Stones Foster Care Inc.,01 April 2014,"$60,960.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2014,"$61,022.00"
Community Social Services Worker Coverage,Service Contract,Sole Source,Coral Harbour,Family Services,Venture Healthcare Inc,09 July 2013,"$61,142.00"
Community Social Services Worker Coverage,Service Contract,Sole Source,Arviat,Family Services,Venture Healthcare Inc,10 July 2013,"$61,142.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,I Have a Chance Support Services Ltd.,15 November 2013,"$61,950.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,West Montreal Readaptation,01 April 2014,"$61,970.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Independent Advocacy 2010 Inc.,15 February 2017,"$62,064.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Terrace Youth Residential Services,23 June 2015,"$62,200.00"
Evaluation of Nunavut Food Security Strategy,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Context Research Ltd.,07 March 2017,"$62,363.00"
Professional Services Program Standards,Consulting,Public Request for Proposals,Iqaluit,Family Services,Adam Filleul,18 December 2013,"$62,656.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,15 June 2015,"$62,782.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$62,897.00"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Ben Calf Robe Society,02 October 2017,"$63,321.00"
Specialized Residential Care,Consulting,Sole Source,Sanikiluaq,Family Services,Michelle Davison,16 October 2015,"$63,411.69"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Partners in Parenting Inc.,15 June 2018,"$63,599.50"
Family Home Provider,Service Contract,Sole Source,Iqaluit,Family Services,Richard Vine,01 April 2018,"$63,620.30"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Richard Vine,01 April 2017,"$63,620.30"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,03 July 2015,"$63,638.00"
Residential Care,Service Contract,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,01 April 2014,"$63,780.00"
Employment Assistance Services Francophone,Service Contract,Sole Source,Qikiqtaaluk Region,Family Services,Carrefour Nunavut,01 April 2014,"$63,900.00"
Residential Care,Service Contract,Sole Source,Arctic Bay,Family Services,Bayfield Treatment Centres,01 December 2020,"$64,049.42"
Child Abuse Investigation Workshops,Consulting,Sole Source,Iqaluit,Family Services,The Forensic Practice,29 April 2019,"$64,374.17"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Options Youth (Ontario) Inc.,31 August 2018,"$64,414.00"
Residential Care,Service Contract,Public Request for Proposals,Coral Harbour,Family Services,6639977 Manitoba Ltd o/a The Massey Home,01 April 2014,"$64,505.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2019,"$64,686.08"
Residential Care,Service Contract,Public Request for Proposals,Arctic Bay,Family Services,Stepping Stones Foster Care Inc.,01 April 2014,"$64,860.00"
Development of Income Assistance Management System,Consulting,Extension,Iqaluit,Family Services,Lorraine MacEachren,01 April 2014,"$65,448.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 January 2014,"$65,839.00"
Guardianship,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,I Have a Chance Support Services Ltd.,01 April 2014,"$66,056.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Maryhomes Inc.,01 April 2014,"$66,072.17"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Bairn Croft Residential Services Inc.,06 November 2020,"$66,100.68"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,16 November 2015,"$66,911.46"
Residential Care,Service Contract,Sole Source,Taloyoak,Family Services,YWCA Edmonton,01 April 2018,"$67,212.16"
Residential Care,Service Contract,Extension,Kinngait,Family Services,6639977 Manitoba Ltd.,28 September 2018,"$68,200.00"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Protegra Inc.,27 December 2013,"$68,451.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Stepping Stones Foster Care Inc.,01 April 2015,"$68,700.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Options Youth (Ontario) Inc.,15 August 2016,"$68,771.00"
Residential Care,Service Contract,Extension,Pangnirtung,Family Services,Partners in Parenting Inc.,01 September 2018,"$68,831.86"
Specialized Residential Care and Treatment,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,Sinclair Children's Residence,10 July 2013,"$68,850.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,RICHARD VINE,11 March 2019,"$68,934.00"
Community Engagement on Income Assistance,Air Charters,Invitational Tender,Nunavut Territory,Family Services,Air Nunavut Ltd.,23 September 2015,"$69,168.00"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,24 January 2017,"$69,291.95"
Family Wellness Training Curricula Developmen,Service Contract,Public Request for Proposals,Iqaluit,Family Services,NVision Insight Group Inc.,30 September 2020,"$69,325.57"
"Nunavut Apprenticeship, Trades and Occupation",Consulting,Public Request for Proposals,Nunavut Territory,Family Services,AMEC Foster and Wheeler Environment and Infra,01 April 2016,"$69,347.11"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Bob Rumball Centre for the Deaf,01 April 2014,"$69,545.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Partners in Parenting Inc.,30 October 2018,"$69,729.46"
Children's Group Home Bathroom Renovation,Minor Construction or Services,Public Tender,Iqaluit,Family Services,Arctic Circle Construction & Developments Ltd,15 May 2015,"$69,892.16"
Specialized Residential Care,Service Contract,Extension,Qikiqtarjuaq,Family Services,Options Youth and Associates,01 April 2013,"$70,925.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ever Bright Complex Needs Support Services,15 February 2020,"$70,957.50"
Residential Care,Service Contract,Public Request for Proposals,Qikiqtarjuaq,Family Services,Partners in Parenting Inc.,01 April 2014,"$71,000.00"
Residential Care Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2017,"$71,458.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,Options Youth Inc.,01 April 2014,"$71,610.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,"Metis Child, Family & Community Services",15 August 2020,"$71,893.19"
Specialized Residential Treatment,Service Contract,Extension,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2013,"$72,181.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Ever Bright Complex Needs Support Services,30 August 2020,"$72,550.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bridgeway Family Homes Specialized Foster Car,01 April 2020,"$72,648.50"
Early Childhood Education Diploma Program,Service Contract,Sole Source,Iqaluit,Family Services,Nunavut Arctic College,02 July 2014,"$72,730.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bridgeway Family Homes Specialized FosterCare,01 April 2019,"$72,823.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,The Bob Rumball Centre for the Deaf,01 April 2015,"$73,022.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2013,"$73,175.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2013,"$73,175.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2013,"$73,175.00"
Specialized Residential Care,Service Contract,Extension,Pond Inlet,Family Services,Options Youth and Associates,01 April 2013,"$74,150.00"
2021 Ford Escape,Purchase Order,Public Request for Proposals,Pond Inlet,Family Services,Ikpiaryuk Services Ltd.,13 March 2021,"$74,152.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Options Youth and Associates,01 June 2013,"$74,630.00"
EPLS Building Tenant Improvement Services,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Accutech Engineering Inc.,19 June 2019,"$74,675.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2016,"$75,000.00"
Residential Care,Consulting,Public Request for Proposals,Igloolik,Family Services,Partners in Parenting Inc.,28 May 2015,"$75,226.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2014,"$75,349.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Maryhomes Inc.,01 April 2014,"$75,776.00"
Specialized Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Shelly Matthews and Luc Bergeron,01 April 2013,"$75,785.00"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Shelly Mathews & Luc Bergeron,01 April 2014,"$75,785.00"
Residential Care,Service Contract,Public Request for Proposals,Qikiqtarjuaq,Family Services,Options Youth Inc.,01 April 2014,"$75,945.00"
Specialized Residential Care,Consulting,Sole Source,Arviat,Family Services,Alliance Youth Services Inc.,17 January 2018,"$76,033.52"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Options Youth Inc.,01 April 2014,"$76,050.00"
Specialized Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,West Montreal Readaptation Centre,01 April 2013,"$76,420.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,Bridgeway Family Homes,31 August 2018,"$76,435.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2015,"$76,500.00"
Dispatch Services,Consulting,Sole Source,Iqaluit,Family Services,City of Iqaluit,01 April 2016,"$76,650.00"
Specialized Residential Care,Service Contract,Extension,Igloolik,Family Services,Options Youth and Associates,01 April 2013,"$76,675.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,Broken Arrow Residential Care Services,01 April 2014,"$76,675.00"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Shelly Mathews & Luc Bergeron,01 April 2015,"$76,740.00"
Special Education Schooling Program,Service Contract,Sole Source,Kitikmeot Region,Family Services,Edmonton Public Schools,04 September 2019,"$76,983.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bob Rumball Centre of Excellence for the Deaf,01 April 2018,"$77,165.50"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,Bob Rumball Canadian Centre of Excellence,01 April 2017,"$77,165.50"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bob Rumball Canadian Centre of Excellence  fo,01 April 2020,"$77,165.50"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,The Bob Rumball Centre for the Deaf,01 April 2016,"$77,165.50"
"Income Assistance, Online Courses",Consulting,Public Request for Proposals,Nunavut Territory,Family Services,NVision Insight Group Inc.,01 July 2018,"$77,249.50"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bob Rumball Centre of Excellence for the Deaf,01 April 2019,"$77,350.20"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Partners in Parenting Inc.,01 April 2015,"$77,390.00"
Residential Care,Service Contract,Extension,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2014,"$77,406.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,29 March 2019,"$77,587.30"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Bayfield Treatment Centres,01 December 2017,"$77,631.80"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,19 January 2019,"$77,658.16"
Family Care Provider,Consulting,Sole Source,Naujaat,Family Services,Shelly Mathews and Luc Bergeron,01 April 2016,"$77,775.00"
Specialized Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Roger and Suzanne Sevigny,01 April 2013,"$78,360.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,21 October 2015,"$78,463.28"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2019,"$78,687.30"
Specialized Residential Care,Service Contract,Extension,Qikiqtarjuaq,Family Services,Options Youth and Associates,01 April 2013,"$79,355.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,Partners in Parenting Inc.,01 April 2016,"$79,700.00"
System Development/Support Services,Consulting,Sole Source,Iqaluit,Family Services,Lorraine MacEachern,26 November 2015,"$79,704.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2013,"$79,942.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 July 2016,"$80,381.77"
,,,,,,,
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Partners in Parenting Inc.,01 April 2015,"$80,590.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Partners in Parenting Inc.,29 March 2019,"$80,787.30"
Residential Care,Consulting,Public Request for Proposals,Kitikmeot Region,Family Services,I Have a Chance Support Services Ltd.,01 November 2016,"$80,853.38"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Partners in Parenting Inc.,01 April 2020,"$81,004.25"
